ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species
AY657002.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage phi1207.3
KF929199.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Sextaecvirus,Staphylococcus virus SEP9
KM882824.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage SpSL1
KF598856.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Triavirus,Staphylococcus phage YMC/09/04/R1988
KM389416.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi06_3106 B
KM389349.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi06_3244 B
KM389348.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi06_3244 B
KM389307.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Bcepmuvirus,Escherichia phage Phi06_2974 B
KM389280.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi06_2986 B
KM389224.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi05_2289
KM389223.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi05_2289
KM389222.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi05_2289
KM389215.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi05_1554 UV
KM389214.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage Phi05_1554 UV
KJ608189.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Leuconostoc phage LLC-1
KM091444.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Skunavirus,Lactococcus phage phi145
KM091443.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Skunavirus,Lactococcus phage phi93
KM091442.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Skunavirus,Lactococcus phage phi15
