ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Serotype,Isolate
LR861922.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS5491243_HPV53
LR861917.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,Gammapapillomavirus 6,Human papillomavirus type 101,Human papillomavirus type 101 isolate LNS5390598_HPV101
LR861915.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS5357810_HPV53
LR861912.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS5040561_HPV53
LR861908.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS4679032_HPV53
LR861900.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 7,Human papillomavirus type 70,Human papillomavirus type 70 isolate LNS4412578_HPV70
LR861899.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 16,Human papillomavirus type 16 isolate LNS4412578_HPV16
LR861898.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 10,Human papillomavirus type 6,Human papillomavirus type 6 isolate LNS4390133_HPV6
LR861897.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 16,Human papillomavirus type 16 isolate LNS4390133_HPV16
LR861891.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS3972965_HPV53
